dimension,lambda,alpha,epsilon,shift_type,model_type,target_mode,n_train,n_test,sigma,seed,kl_divergence,chi_squared_divergence,chi2_weight_mean,chi2_weight_variance,ess,weight_mean,weight_variance,weight_max,weight_min,weight_q1,weight_median,weight_q3,train_mse,test_mse,train_rmse,test_rmse,generalisation_gap
2,0.0,1.0,0.1,mean,rbf_svr,linear,1000,1000,0.1,2,-7.838174553853605e-17,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.013035067086958308,0.02766651965848235,0.11417121829497269,0.1663325574218179,0.014631452571524041
2,0.0,1.0,0.1,combined,rbf_svr,linear,1000,1000,0.1,0,-7.593925488436071e-17,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.016906711401992795,0.01844435619207858,0.13002581052234513,0.1358100003389978,0.0015376447900857862
2,0.0,1.0,0.1,combined,rbf_svr,linear,1000,1000,0.1,1,-5.728750807065808e-17,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.01778785610497299,0.02313982857753311,0.13337112170546137,0.15211781150651987,0.0053519724725601195
2,0.0,1.0,0.1,combined,rbf_svr,linear,1000,1000,0.1,2,-7.838174553853605e-17,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.013035067086958308,0.02766651965848235,0.11417121829497269,0.1663325574218179,0.014631452571524041
2,0.0,1.0,0.2,mean,ols,linear,1000,1000,0.1,0,-1.1102230246251566e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.010071505478150807,0.010863174764112164,0.1003568905364789,0.1042265549853403,0.0007916692859613571
2,0.0,1.0,0.2,mean,ols,linear,1000,1000,0.1,1,-5.551115123125783e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.009918032627767298,0.010790877242066406,0.09958931984789984,0.10387914729177558,0.0008728446142991075
2,0.0,1.0,0.2,mean,ols,linear,1000,1000,0.1,2,-3.7747582837255325e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00981590559144587,0.009968315872740418,0.09907525216443241,0.09984145367902261,0.0001524102812945488
2,0.0,1.0,0.2,combined,ols,linear,1000,1000,0.1,0,-1.1102230246251566e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.010071505478150807,0.010863174764112164,0.1003568905364789,0.1042265549853403,0.0007916692859613571
2,0.0,1.0,0.2,combined,ols,linear,1000,1000,0.1,1,-5.551115123125783e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.009918032627767298,0.010790877242066406,0.09958931984789984,0.10387914729177558,0.0008728446142991075
2,0.0,1.0,0.2,combined,ols,linear,1000,1000,0.1,2,-3.7747582837255325e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00981590559144587,0.009968315872740418,0.09907525216443241,0.09984145367902261,0.0001524102812945488
2,0.0,1.0,0.2,mean,rbf_svr,linear,1000,1000,0.1,0,-1.1102230246251566e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.016906711401992795,0.018794210473815604,0.13002581052234513,0.1370919781526826,0.001887499071822809
2,0.0,1.0,0.2,mean,rbf_svr,linear,1000,1000,0.1,1,-5.551115123125783e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.01778785610497299,0.0225845760046404,0.13337112170546137,0.15028165558257733,0.004796719899667411
2,0.0,1.0,0.2,mean,rbf_svr,linear,1000,1000,0.1,2,-3.7747582837255325e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.013035067086958308,0.027444107556174113,0.11417121829497269,0.1656626317434747,0.014409040469215805
2,0.0,1.0,0.2,combined,rbf_svr,linear,1000,1000,0.1,0,-1.1102230246251566e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.016906711401992795,0.018794210473815604,0.13002581052234513,0.1370919781526826,0.001887499071822809
